ratingID,userID,placeID,rating,food_rating,service_rating,comments
68,1009,135059,4,3,3,I give it 2 thumbs down
69,1009,135063,2,2,2,I didn't know pulled pork could be soooo delicious.
70,1009,135060,3,3,3,Ample portions and good prices.
71,1009,135038,4,4,4,The food came out at a good pace.
72,1009,135058,3,3,4,"Not a weekly haunt, but definitely a place to come back to every once in a while."
73,1009,132754,3,4,3,Just as good as when I had it more than a year ago!
74,1009,135052,4,3,2,My first visit to Hiro was a delight!
75,1009,132825,3,3,2,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.
76,1009,132834,4,4,3,It was way over fried.
77,1010,135065,3,3,3,"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed."
78,1010,135076,3,4,4,Restaurant is always full but never a wait.
79,1010,135042,4,4,4,"I loved the grilled pizza, reminded me of legit Italian pizza."
80,1010,135053,3,3,3,I liked the patio and the service was outstanding.
81,1010,135079,2,2,2,My fella got the huevos rancheros and they didn't look too appealing.
82,1010,135064,2,4,2,"Very good food, great atmosphere.1"
83,1010,135047,3,3,3,I'm not eating here!
84,1010,135058,3,2,2,The place was not clean and the food oh so stale!
85,1012,134983,4,4,4,Kids pizza is always a hit too with lots of great side dish options for the kiddos!
86,1012,135001,3,3,4,"This isn't a small family restaurant, this is a fine dining establishment."
87,1012,135018,4,4,4,"Overall, I was very disappointed with the quality of food at Bouchon."
88,1012,134996,4,4,4,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water."
89,1012,134986,4,4,4,Overall I wasn't very impressed with Noca.
90,1013,135076,3,3,2,"The wontons were thin, not thick and chewy, almost melt in your mouth."
91,1013,135079,3,3,3,Hands down my favorite Italian restaurant!
92,1013,135060,3,3,2,After two I felt disgusting.
93,1013,132951,4,4,4,Their rotating beers on tap is also a highlight of this place.
94,1013,135075,4,4,3,This place deserves one star and 90% has to do with the food.
95,1013,135085,3,4,2,Penne vodka excellent!
96,1013,135072,4,3,3,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!
97,1014,135082,2,2,2,We sat another ten minutes and finally gave up and left.
98,1014,135070,4,4,4,The food is good.
99,1014,135069,3,2,3,Couldn't ask for a more satisfying meal.
100,1014,135076,3,4,3,I was VERY disappointed!!
101,1014,135042,3,3,2,My husband said she was very rude... did not even apologize for the bad food or anything.
102,1014,135057,3,2,4,Our server was very nice and attentive as were the other serving staff.
103,1014,135081,4,3,3,A FLY was in my apple juice.. A FLY!!!!!!!!
104,1014,135066,4,3,4,I would not recommend this place.
105,1014,135050,4,4,4,He deserves 5 stars.
106,1014,135043,3,2,2,Their chow mein is so good!
107,1015,135071,2,2,2,My fiancé and I came in the middle of the day and we were greeted and seated right away.
108,1015,132866,2,3,3,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).
109,1015,132869,4,4,4,Any grandmother can make a roasted chicken better than this one.
110,1015,135054,3,3,3,Definitely not worth the $3 I paid.
111,1015,132870,2,2,3,The live music on Fridays totally blows.
112,1015,132845,3,3,3,All the bread is made in-house!
113,1016,135106,4,4,4,The turkey and roast beef were bland.
114,1016,132856,4,4,4,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat."
115,1016,132862,4,4,4,The service was terrible though.
116,1016,135042,3,4,4,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.
117,1016,135045,4,4,4,I love the decor with the Chinese calligraphy wall paper.
118,1016,135066,4,4,4,OMG I felt like I had never eaten Thai food until this dish.
119,1016,135060,4,4,4,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon."
120,1016,135051,4,4,2,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.
121,1016,135052,4,4,4,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee."
122,1016,135062,4,4,4,Ambience is perfect.
123,1016,135032,4,4,4,It kept getting worse and worse so now I'm officially done.
124,1016,135085,4,4,2,It shouldn't take 30 min for pancakes and eggs.
125,1016,132834,4,4,4,Im in AZ all the time and now have my new spot.
126,1017,134983,2,2,3,Hell no will I go back
127,1017,132768,3,3,3,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas."
128,1018,135062,2,2,3,"I probably won't be back, to be honest."
129,1018,135032,3,3,3,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE."
130,1018,135082,4,4,4,"When I'm on this side of town, this will definitely be a spot I'll hit up again!"
131,1018,135069,2,3,3,Waitress was sweet and funny.
132,1018,135025,3,3,3,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.
133,1018,135057,3,3,2,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.
134,1018,135066,3,3,3,This place has a lot of promise but fails to deliver.
135,1018,135108,3,2,3,"Overall, a great experience."
136,1018,135081,3,3,3,But I don't like it.
137,1018,135043,2,2,2,The staff was very attentive.
138,1019,135079,2,2,2,"This hole in the wall has great Mexican street tacos, and friendly staff."
139,1019,135038,2,2,2,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?
140,1019,135062,2,2,2,My friend loved the salmon tartar.
141,1019,132856,2,2,2,Con: spotty service.
142,1019,135086,2,2,2,I probably won't be coming back here.
143,1019,135076,2,2,2,This place is way too overpriced for mediocre food.
144,1019,132834,2,2,2,Not much seafood and like 5 strings of pasta at the bottom.
145,1020,135088,3,4,2,Server did a great job handling our large rowdy table.
146,1020,134996,3,3,3,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations."
147,1020,132768,4,4,4,"Also, the fries are without a doubt the worst fries I've ever had."
148,1022,135040,2,2,2,I would definitely recommend the wings as well as the pizza.
149,1022,135033,3,3,4,It is PERFECT for a sit-down family meal or get together with a few friends.
150,1022,135045,4,3,3,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.
151,1022,135025,2,2,2,This is one of the better buffets that I have been to.
152,1022,135057,4,4,4,There was hardly any meat.
153,1022,135063,4,3,4,"Best Buffet in town, for the price you cannot beat it."
154,1022,135060,3,3,4,The steak and the shrimp are in my opinion the best entrees at GC.
155,1022,135038,4,3,4,I won't be back.
156,1022,135081,2,4,3,The best place to go for a tasty bowl of Pho!
157,1022,135051,4,3,3,The service was meh.
158,1022,135052,4,4,4,My husband and I ate lunch here and were very disappointed with the food and service.
159,1022,135073,4,4,4,The service was a bit lacking.
160,1022,135062,3,4,3,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."
161,1022,135032,3,3,4,Very disappointing!!!
162,1024,135039,4,4,4,Just spicy enough.. Perfect actually.
163,1024,135073,3,4,2,Weird vibe from owners.
164,1024,135032,4,4,4,Service sucks.
165,1024,135028,3,3,3,I had about two bites and refused to eat anymore.
166,1024,135027,3,4,2,Will not be back.
167,1024,135051,3,3,2,The service here leaves a lot to be desired.
168,1024,135060,3,2,4,Don't do it!!!!
169,1024,135106,3,3,3,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!
170,1024,135042,3,4,3,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!"
171,1024,135045,4,4,2,"Poor service, the waiter made me feel like I was stupid every time he came to the table."
172,1024,135030,3,3,3,Waited and waited and waited.
173,1024,135041,3,3,3,Food was great and so was the serivce!
174,1024,135038,3,3,2,"The owner used to work at Nobu, so this place is really similar for half the price."
175,1024,132825,3,3,2,"For a self proclaimed coffee cafe, I was wildly disappointed."
176,1024,132834,3,3,3,Pretty cool I would say.
177,1025,132866,4,3,4,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.
178,1025,135028,4,3,2,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!"
179,1025,135071,4,4,4,Each day of the week they have a different deal and it's all so delicious!
180,1025,135047,3,3,3,There was a warm feeling with the service and I felt like their guest for a special treat.
181,1025,135064,4,4,4,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways."
182,1025,132825,2,2,2,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...
183,1025,132958,3,2,2,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.
184,1025,132846,4,4,4,The goat taco didn't skimp on the meat and wow what FLAVOR!
185,1025,132847,4,3,3,"I really do recommend this place, you can go wrong with this donut place!"
186,1026,132706,2,4,2,The waitress was friendly and happy to accomodate for vegan/veggie options.
187,1026,132654,2,2,2,As a sushi lover avoid this place by all means.
188,1027,135085,3,3,3,Good Service-check!
189,1027,135062,3,3,3,The chicken wings contained the driest chicken meat I have ever eaten.
190,1027,132951,3,3,3,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from."
191,1027,135066,2,2,2,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.
192,1027,135052,3,3,3,Pricing is a bit of a concern at Mellow Mushroom.
193,1027,135042,3,3,3,I will be back many times soon.
194,1027,132937,3,3,3,We will not be coming back.
195,1028,132732,3,3,3,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party."
196,1028,132613,4,4,4,The Greek dressing was very creamy and flavorful.
197,1028,132630,4,4,4,The bus boy on the other hand was so rude.
198,1029,132862,3,3,3,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for."
199,1029,135059,4,3,3,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.
200,1029,135047,3,3,3,definitely will come back here again.
201,1029,132754,2,2,2,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00."
202,1029,135085,3,3,3,the potatoes were great and so was the biscuit.
203,1029,132825,3,3,2,Everything was fresh and delicious!
204,1029,132834,2,3,2,Disappointing experience.
205,1029,132937,3,3,3,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food."
206,1030,134996,2,2,2,My boyfriend tried the Mediterranean Chicken Salad and fell in love.
207,1030,135016,2,2,2,very slow at seating even with reservation.
208,1030,134986,4,4,4,Great food and awesome service!
209,1030,135088,3,2,3,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas."
210,1030,135018,4,4,4,"Anyway, this FS restaurant has a wonderful breakfast/lunch."
211,1030,132767,2,2,2,We won't be going back anytime soon!
212,1030,135019,2,2,2,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."
213,1032,132856,3,3,2,This was like the final blow!
214,1032,135042,2,3,2,I left with a stomach ache and felt sick the rest of the day.
215,1032,135079,4,4,2,The price is reasonable and the service is great.
216,1032,135060,3,3,3,And the red curry had so much bamboo shoots and wasn't very tasty to me.
217,1032,135038,3,3,2,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.
218,1032,135058,4,3,2,I don't think we'll be going back anytime soon.
219,1032,135032,2,2,2,I can take a little bad service but the food sucks.
220,1032,135085,3,3,3,"I could barely stomach the meal, but didn't complain because it was a business lunch."
221,1032,132834,3,3,2,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed."
222,1033,135065,3,3,3,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables."
223,1033,135030,4,3,3,Service is perfect and the family atmosphere is nice to see.
224,1033,135046,4,3,3,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late."
225,1033,135038,3,3,3,Service was slow and not attentive.
226,1033,132951,4,3,2,I hope this place sticks around.
227,1033,135075,4,3,2,My drink was never empty and he made some really great menu suggestions.
228,1033,135028,4,3,3,High-quality chicken on the chicken Caesar salad.
229,1033,135085,4,4,4,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.
230,1033,135045,4,3,4,Once you get inside you'll be impressed with the place.
231,1034,135086,3,3,3,"Same evening, him and I are both drastically sick."
232,1034,135055,2,2,2,We had 7 at our table and the service was pretty fast.
233,1034,135035,3,3,3,The only redeeming quality of the restaurant was that it was very inexpensive.
234,1034,135049,2,2,2,This place is disgusting!
235,1035,135000,4,4,4,Would not go back.
236,1035,135018,3,4,3,"Give it a try, you will be happy you did."
237,1035,132773,4,3,4,I love this place.
238,1035,134996,4,3,4,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.
239,1035,134986,4,4,4,This place lacked style!!
240,1035,132583,3,2,4,"Anyway, I do not think i will go back there."
241,1036,135065,2,2,2,I believe that this place is a great stop for those with a huge belly and hankering for sushi.
242,1036,135042,4,4,4,"The burger is good beef, cooked just right."
243,1036,135045,4,4,4,I don't have to be an accountant to know I'm getting screwed!
244,1036,135025,4,4,4,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.
245,1036,135079,4,4,4,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.
246,1036,135059,4,4,4,Fantastic food!
247,1036,135064,4,4,3,"It was either too cold, not enough flavor or just bad."
248,1036,135052,4,4,4,This place is great!!!!!!!!!!!!!!
249,1036,132754,4,4,4,This was my first time and I can't wait until the next.
250,1036,135085,4,4,4,Never had anything to complain about here.
251,1036,132825,4,4,4,I had the chicken Pho and it tasted very bland.
252,1036,132834,3,4,4,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!
253,1037,135071,3,2,2,"I have eaten here multiple times, and each time the food was delicious."
254,1037,135082,2,2,2,Waitress was good though!
255,1037,135070,2,2,2,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor."
256,1037,132854,3,4,2,This place is amazing!
257,1037,135054,4,3,3,I went to Bachi Burger on a friend's recommendation and was not disappointed.
258,1037,132869,3,3,4,The food wasn't good.
259,1037,135108,4,4,4,"I had strawberry tea, which was good."
260,1037,132845,2,2,2,The food was terrible.
261,1037,132847,3,3,3,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.
262,1038,132854,3,4,4,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.
263,1038,132856,2,3,3,"As much as I'd like to go back, I can't get passed the atrocious service and will never return."
264,1038,132862,4,4,4,Left very frustrated.
265,1038,132858,2,4,3,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us."
266,1038,132861,3,3,4,Do yourself a favor and stay away from this dish.
267,1040,134999,3,3,3,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.
268,1040,132773,3,3,3,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected."
269,1040,135013,4,4,4,Everyone is treated equally special.
270,1040,135019,3,4,3,The restaurant atmosphere was exquisite.
271,1041,134983,4,4,4,I was so insulted.
272,1041,134992,4,4,4,"The menu is always changing, food quality is going down & service is extremely slow."
273,1041,135001,3,3,3,Do not waste your money here!
274,1041,135021,4,4,4,We recently witnessed her poor quality of management towards other guests as well.
275,1041,132768,4,4,3,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services."
276,1042,135021,3,4,2,This place receives stars for their APPETIZERS!!!
277,1042,134996,4,4,4,Total brunch fail.
278,1042,134986,4,4,4,It was a pale color instead of nice and char and has NO flavor.
279,1042,134992,3,4,3,I wasn't really impressed with Strip Steak.
280,1042,132768,4,4,3,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived."
281,1043,132732,3,3,3,But I definitely would not eat here again.
282,1043,132609,3,4,3,Service was very prompt.
283,1043,132608,3,3,3,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.
284,1043,132630,3,3,3,Worst food/service I've had in a while.
285,1043,132613,3,3,3,"Phenomenal food, service and ambiance."
286,1044,135088,4,4,4,"That said, our mouths and bellies were still quite pleased."
287,1044,134986,4,4,4,The jalapeno bacon is soooo good.
288,1044,134987,2,2,2,"The chains, which I'm no fan of, beat this place easily."
289,1044,132583,3,4,3,The fried rice was dry as well.
290,1044,132768,4,4,4,The service was poor and thats being nice.
291,1045,135064,2,2,2,The real disappointment was our waiter.
292,1045,135051,4,4,4,Gave up trying to eat any of the crust (teeth still sore).
293,1045,135052,3,4,4,The staff are also very friendly and efficient.
294,1045,135032,2,2,2,We won't be going back.
295,1045,135085,4,4,4,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.
296,1045,135060,4,4,4,So don't go there if you are looking for good food...
297,1045,135041,3,4,3,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too."
298,1045,132856,3,4,4,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!"
299,1045,132825,4,3,3,"Good food , good service ."
300,1045,132834,3,3,3,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat."
301,1046,135058,4,4,3,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy."
302,1046,135085,3,4,3,You won't be disappointed.
303,1046,132861,3,4,4,"Frozen pucks of disgust, with some of the worst people behind the register."
304,1046,135044,3,3,2,A great touch.
305,1046,135026,3,2,4,Pretty awesome place.
306,1046,132951,3,3,4,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!)."
307,1046,135065,4,4,4,I can say that the desserts were yummy.
308,1048,135048,2,3,2,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.
309,1048,135026,4,4,4,As always the evening was wonderful and the food delicious!
310,1048,135034,4,4,3,Awesome service and food.
311,1048,135065,4,4,2,"Very convenient, since we were staying at the MGM!"
312,1048,132755,4,4,4,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste."
313,1048,135049,3,2,4,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.
314,1049,132862,2,2,2,It was not good.
315,1049,135042,2,2,2,It was packed!!
316,1049,135041,2,2,2,The grilled chicken was so tender and yellow from the saffron seasoning.
317,1049,135051,2,2,2,Today is the second time I've been to their lunch buffet and it was pretty good.
318,1049,135052,2,2,2,Sauce was tasteless.
319,1049,135032,2,2,2,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.
320,1049,135085,2,2,2,(The bathroom is just next door and very nice.)
321,1049,132825,2,2,2,We've tried to like this place but after 10+ times I think we're done with them.
322,1050,132732,2,3,3,"After one bite, I was hooked."
323,1050,132560,2,4,2,I want to first say our server was great and we had perfect service.
324,1050,132608,2,2,2,the staff is friendly and the joint is always clean.
325,1050,132609,2,2,2,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"
326,1051,134996,3,3,4,My gyro was basically lettuce only.
327,1051,135088,3,3,3,Everything was good and tasty!
328,1051,132768,3,4,3,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
329,1052,132866,4,4,3,Very very fun chef.
330,1052,132870,3,3,3,A great way to finish a great.
331,1052,132869,4,4,3,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate."
332,1053,135032,4,4,3,CONCLUSION: Very filling meals.
333,1053,135076,3,3,3,This place deserves no stars.
334,1053,135042,4,3,4,The buffet is small and all the food they offered was BLAND.
335,1053,135053,4,4,2,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back."
336,1053,135025,4,3,4,The pancake was also really good and pretty large at that.
337,1053,135063,4,3,4,I'm not impressed with the concept or the food.
338,1053,135060,4,4,3,"too bad cause I know it's family owned, I really wanted to like this place."
339,1053,135038,4,3,4,Bland and flavorless is a good way of describing the barely tepid meat.
340,1053,135081,4,4,3,The nachos are a MUST HAVE!
341,1053,135047,4,4,4,Now the pizza itself was good the peanut sauce was very tasty.
342,1053,135062,4,3,3,Soggy and not good.
343,1053,132754,3,4,3,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.
344,1053,132825,3,4,2,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up."
345,1054,132856,4,4,4,2 times - Very Bad Customer Service !
346,1054,135045,4,3,4,"I don't know what the big deal is about this place, but I won't be back ""ya'all""."
347,1054,135025,4,4,4,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!"
348,1054,135041,4,4,4,They really want to make your experience a good one.
349,1054,135060,4,4,4,I can assure you that you won't be disappointed.
350,1054,135038,4,3,3,"What did bother me, was the slow service."
351,1054,135051,4,4,2,The menu had so much good stuff on it i could not decide!
352,1054,135052,4,4,3,I don't recommend unless your car breaks down in front of it and you are starving.
353,1054,135039,4,4,3,My boyfriend and i sat at the bar and had a completely delightful experience.
354,1054,135062,4,4,2,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things."
355,1054,135032,3,3,3,Owner's are really great people.!
356,1055,135106,4,4,4,Always a great time at Dos Gringos!
357,1055,135025,4,4,4,I'm super pissd.
358,1055,135051,3,4,4,She ordered a toasted English muffin that came out untoasted.
359,1055,135047,4,4,4,They were excellent.
360,1055,135048,4,4,4,"Overall, I like there food and the service."
361,1055,135075,4,4,4,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people."
362,1055,132754,4,4,4,"Your servers suck, wait, correction, our server Heimer sucked."
363,1055,135028,4,4,4,"The service was not up to par, either."
364,1055,132825,4,4,4,We loved the biscuits!!!
365,1056,135076,4,4,4,Once your food arrives it's meh.
366,1056,135066,4,4,4,Nothing special.
367,1056,135081,4,4,4,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace."
368,1056,135051,4,4,4,"Third, the cheese on my friend's burger was cold."
369,1056,135052,4,4,4,I found this place by accident and I could not be happier.
370,1056,135027,4,4,4,The chefs were friendly and did a good job.
371,1056,135062,4,4,4,I like Steiners because it's dark and it feels like a bar.
372,1056,135085,4,4,4,It'll be a regular stop on my trips to Phoenix!
373,1056,135050,2,2,2,"However, there was so much garlic in the fondue, it was barely edible."
374,1056,132825,4,4,4,I never come again.
375,1057,135075,2,3,3,"I'd rather eat airline food, seriously."
376,1057,135064,3,3,2,The roast beef sandwich tasted really good!
377,1057,135080,3,3,2,The RI style calamari was a joke.
378,1057,135046,3,2,2,this place is good.
379,1057,135030,3,2,3,This is one of the best bars with food in Vegas.
380,1057,132862,3,2,2,"The chips and salsa were really good, the salsa was very fresh."
381,1057,135070,3,3,3,"Everyone is very attentive, providing excellent customer service."
382,1057,135043,3,3,3,The cocktails are all handmade and delicious.
383,1057,132825,3,3,2,Why are these sad little vegetables so overcooked?
384,1057,132954,3,2,2,The Jamaican mojitos are delicious.
385,1057,132834,3,2,3,"It was extremely ""crumby"" and pretty tasteless."
386,1058,135076,4,4,4,"This place is not quality sushi, it is not a quality restaurant."
387,1058,135053,4,3,3,I had a seriously solid breakfast here.
388,1058,135066,3,3,3,Service was fantastic.
389,1058,135055,4,4,4,It was just not a fun experience.
390,1058,132885,3,3,3,The only thing I did like was the prime rib and dessert section.
391,1058,135062,4,4,4,Favorite place in town for shawarrrrrrma!!!!!!
392,1058,135058,4,4,2,For that price I can think of a few place I would have much rather gone.
393,1058,135050,3,2,2,-Drinks took close to 30 minutes to come out at one point.
394,1058,135043,3,4,4,So they performed.
