placeID,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,cuisines
132870,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,f,closed,Burgers
132755,No_Alcohol_Served,none,informal,partially,medium,familiar,f,closed,Mexican
135049,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Seafood
135053,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,f,closed,"Cafeteria, Fast Food, Pizzeria"
135058,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,t,closed,Pizzeria
135085,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,f,closed,Fast Food
132862,Wine-Beer,none,casual,completely,high,familiar,f,closed,International
132861,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,t,closed,Burgers
132951,No_Alcohol_Served,not permitted,casual,completely,low,familiar,f,closed,American
135079,No_Alcohol_Served,none,informal,no_accessibility,high,familiar,f,closed,Chinese
135044,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Chinese
135030,No_Alcohol_Served,none,informal,no_accessibility,medium,quiet,f,closed,"Cafe-Coffee Shop, Cafeteria"
132754,No_Alcohol_Served,none,informal,partially,medium,familiar,f,closed,Mexican
135046,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Fast Food
135075,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Seafood
135028,Wine-Beer,none,informal,no_accessibility,medium,familiar,f,closed,Mexican
135086,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,t,closed,"Burgers, Fast Food"
135025,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Mexican
135072,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Japanese
135055,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,f,closed,Mexican
135041,Wine-Beer,none,informal,no_accessibility,medium,familiar,f,closed,"Bar, Cafeteria"
132856,Wine-Beer,none,informal,completely,low,familiar,f,closed,Italian
135073,Wine-Beer,section,informal,no_accessibility,high,familiar,f,closed,"Bar, Bar Pub Brewery"
135074,Wine-Beer,section,informal,no_accessibility,high,familiar,f,closed,Contemporary
135027,Wine-Beer,none,informal,no_accessibility,medium,familiar,f,closed,Mexican
135035,No_Alcohol_Served,section,informal,no_accessibility,high,familiar,f,closed,Italian
132885,No_Alcohol_Served,none,informal,completely,low,familiar,f,closed,Cafeteria
135059,Wine-Beer,section,informal,no_accessibility,medium,familiar,f,closed,Bar
135106,Wine-Beer,only at bar,informal,partially,medium,familiar,f,open,Mexican
135043,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,"Fast Food, Pizzeria"
132768,No_Alcohol_Served,not permitted,casual,partially,medium,familiar,t,closed,Family
132825,No_Alcohol_Served,none,informal,completely,low,familiar,f,open,Mexican
132955,Wine-Beer,none,informal,completely,low,familiar,t,closed,Bar Pub Brewery
132954,No_Alcohol_Served,not permitted,informal,partially,medium,familiar,t,closed,Breakfast-Brunch
132937,Full_Bar,section,informal,completely,low,quiet,f,closed,Bar
132834,No_Alcohol_Served,not permitted,casual,no_accessibility,low,familiar,f,closed,Mexican
132958,No_Alcohol_Served,none,informal,completely,low,quiet,t,closed,American
132845,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Mexican
132846,No_Alcohol_Served,permitted,casual,no_accessibility,low,familiar,f,open,International
132609,No_Alcohol_Served,not permitted,informal,completely,low,quiet,t,closed,Fast Food
132613,No_Alcohol_Served,permitted,informal,completely,medium,familiar,t,closed,Mexican
132560,No_Alcohol_Served,permitted,informal,no_accessibility,low,familiar,f,open,Regional
132608,No_Alcohol_Served,permitted,informal,completely,low,quiet,t,open,Mexican
132630,No_Alcohol_Served,none,informal,completely,low,familiar,f,closed,Mexican
132667,No_Alcohol_Served,none,informal,completely,low,familiar,t,closed,Armenian
